cod_nota,nota_NP1,nota_NP2,nota_exame,semestre,ano,cod_disciplina,cod_aluno
0,9.09,0.49,4.09,2,2014,980,0
1,9.33,5.72,0.0,2,2019,981,0
2,2.55,3.43,5.07,1,2015,982,0
3,1.46,6.7,1.06,1,2015,983,0
4,7.23,3.68,0.92,2,2012,984,0
5,5.54,6.09,1.56,1,2011,985,0
6,2.75,7.06,1.35,2,2016,986,0
7,5.39,6.36,8.72,2,2014,987,0
8,3.92,2.29,2.72,1,2016,988,0
9,8.68,1.63,0.8,1,2017,989,0
10,6.09,1.6,2.1,1,2014,990,0
11,8.86,4.01,5.23,1,2013,991,0
12,9.49,8.34,0.0,1,2012,992,0
13,0.98,1.96,9.56,2,2017,993,0
14,5.9,6.52,4.84,2,2016,994,0
15,2.21,7.56,2.05,1,2015,995,0
16,1.94,1.06,5.72,2,2015,996,0
17,7.29,2.15,3.59,2,2016,997,0
18,3.89,3.19,3.08,2,2016,998,0
19,3.67,7.32,6.27,2,2015,999,0
20,8.65,1.24,1.92,1,2018,1000,0
21,8.65,8.97,0.0,1,2013,1001,0
22,6.53,7.34,7.42,2,2016,1002,0
23,5.4,3.22,1.41,1,2017,1003,0
24,6.44,2.47,5.88,1,2013,1004,0
25,7.36,4.18,9.83,1,2014,1005,0
26,9.82,2.56,7.69,2,2017,1006,0
27,4.65,6.05,2.23,2,2019,1007,0
28,5.56,0.21,7.41,2,2014,728,1
29,4.03,5.6,0.93,1,2015,729,1
30,3.94,7.26,3.91,2,2010,730,1
31,9.78,7.78,0.0,1,2016,731,1
32,4.96,4.42,5.86,1,2011,732,1
33,6.3,0.93,4.47,1,2016,733,1
34,7.26,8.6,0.0,1,2016,734,1
35,9.51,4.64,0.0,2,2014,735,1
36,8.41,1.16,1.17,1,2014,736,1
37,6.33,7.2,4.36,1,2017,737,1
38,4.6,8.49,3.41,2,2015,738,1
39,7.26,7.29,0.0,1,2016,739,1
40,3.53,7.36,5.93,2,2014,740,1
41,0.03,6.12,2.06,2,2011,741,1
42,2.5,2.88,0.74,2,2016,742,1
43,0.44,0.24,1.95,2,2019,743,1
44,7.55,9.48,0.0,2,2016,744,1
45,4.26,4.21,8.92,1,2020,745,1
46,6.14,5.69,5.39,1,2014,746,1
47,5.92,7.79,4.29,2,2015,747,1
48,9.4,7.18,0.0,2,2016,748,1
49,2.11,3.44,0.7,1,2016,749,1
50,7.2,1.31,1.12,1,2015,750,1
